renovation,area,city,floor,kitchen_area,balconies,rooms,house_floors,house_wall_type,lifts,price
,49.0,Казань,18,12.5,0,1,23,Монолитный,1,8648990.0
,38.6,Москва,5,0.0,0,1,6,Кирпичный,0,6924994.4
Косметический,38.1,Новосибирск,1,12.1,0,1,5,Кирпичный,0,3499980.3000000003
Косметический,31.0,Новосибирск,4,6.0,0,1,5,Кирпичный,0,3499993.0
,44.0,Казань,8,13.0,0,1,20,Монолитный,1,8498996.0
Отсутствует,25.0,Москва,3,5.0,0,1,8,Кирпичный,1,6900000.0
,27.5,Новосибирск,4,5.8,1,1,5,Кирпичный,0,3300000.0
,31.2,Новосибирск,4,6.0,1,1,5,Кирпичный,0,3299992.8
Косметический,39.0,Новосибирск,1,2.7,1,1,10,Панельный,0,3359967.0
,38.5,Казань,8,10.1,1,1,24,Кирпично-монолитный,0,8379987.0
Дизайнерский,16.5,Москва,2,2.0,0,1,3,Кирпичный,0,6899986.5
Косметический,31.0,Новосибирск,4,6.0,1,1,5,Кирпичный,0,3299981.0
Требуется,34.7,Казань,10,10.7,1,1,19,Кирпичный,0,8499973.200000001
,42.5,Новосибирск,1,12.3,1,1,10,Панельный,1,3199995.0
,30.9,Новосибирск,1,6.0,0,1,10,Панельный,1,3249969.3
Дизайнерский,17.3,Москва,1,0.0,0,0,4,Кирпичный,0,6939998.800000001
,40.5,Казань,14,9.0,1,1,19,Монолитный,0,8449960.5
Косметический,36.8,Новосибирск,2,0.0,1,0,10,Панельный,1,3149969.5999999996
,33.0,Новосибирск,3,0.0,0,1,10,Панельный,1,3099987.0
косметический,32.5,Новосибирск,1,8.0,0,1,10,Кирпичный,1,3149997.5
Косметический,13.5,Москва,1,0.0,0,0,3,Кирпичный,0,6849994.5
,33.0,Новосибирск,3,5.0,0,0,10,Панельный,1,3049992.0
Требует ремонта,42.0,Новосибирск,3,10.54,0,1,10,Панельный,1,3099978.0
косметический,26.0,Новосибирск,4,6.0,0,1,10,Панельный,0,3079986.0
косметический,32.5,Новосибирск,4,5.0,1,0,10,Панельный,1,3099980.0
,32.4,Новосибирск,4,0.0,0,0,10,Панельный,0,2964988.8
,34.0,Новосибирск,3,5.0,0,1,10,Панельный,0,3149998.0
Требует ремонта,40.5,Казань,13,11.5,0,1,18,Кирпично-монолитный,1,8100000.0
С отделкой,25.5,Новосибирск,6,5.7,0,1,11,Панельный,1,2899987.5
Косметический,32.6,Новосибирск,5,5.0,0,0,10,Панельный,1,2869973.6
Хороший,32.0,Новосибирск,3,5.0,1,0,10,Панельный,1,2789984.0
Косметический,32.0,Новосибирск,3,6.0,1,1,10,Панельный,1,3149984.0
,35.0,Казань,12,11.0,0,1,20,Монолитный,1,7998970.0
косметический,27.0,Новосибирск,5,3.0,0,0,10,Панельный,1,2899989.0
,32.5,Новосибирск,7,5.0,1,0,10,Панельный,0,2799972.5
Требует ремонта,33.6,Новосибирск,5,5.0,0,0,10,Панельный,1,2669990.4
Без ремонта,32.4,Новосибирск,3,8.6,1,1,10,Панельный,0,3149992.8
Требует ремонта,40.59,Казань,10,8.26,0,1,20,Кирпично-монолитный,1,7799977.350000001
,32.6,Новосибирск,8,5.0,0,0,10,Панельный,0,2848979.2
Косметический,20.7,Новосибирск,3,0.0,0,0,10,Панельный,1,2589984.0
Отсутствует,32.4,Новосибирск,8,5.0,1,0,10,Панельный,1,2699989.1999999997
Требует ремонта,33.1,Новосибирск,8,4.0,1,0,10,Кирпичный,0,2599971.9
Под чистовой ремонт,33.0,Казань,9,9.0,0,1,19,Кирпично-монолитный,1,7719987.0
Косметический,33.0,Новосибирск,9,5.0,1,0,10,Панельный,2,2799984.0
Требуется,34.6,Казань,9,10.5,1,1,20,Кирпичный,0,7489965.800000001
Требуется,34.5,Казань,8,11.0,0,1,21,Кирпичный,0,7599970.5
,30.2,Казань,8,6.0,1,1,24,Кирпично-монолитный,0,7399996.6
,34.0,Новосибирск,2,8.0,1,1,3,Блочный,0,3589992.0
,34.0,Новосибирск,3,0.0,0,1,4,Блочный,0,3599988.0
Косметический,34.1,Новосибирск,3,8.5,1,1,4,Блочный,0,3599971.1
,34.0,Новосибирск,2,8.0,1,1,4,Блочный,0,3549974.0
Косметический,34.1,Новосибирск,3,8.5,1,1,4,Блочный,1,3579988.5
,34.0,Новосибирск,2,8.0,1,1,3,Блочный,0,3599988.0
косметический,39.0,Новосибирск,3,8.6,0,1,4,Блочный,0,3449979.0
,31.0,Новосибирск,3,6.0,0,1,3,Кирпичный,0,3399987.0
косметический,28.4,Новосибирск,4,6.0,1,1,5,Кирпичный,0,3189973.1999999997
нормальное,37.4,Новосибирск,4,8.6,0,1,5,Кирпичный,0,3329983.8
Хороший,29.3,Новосибирск,2,6.2,1,1,5,Панельный,0,3219982.1
Требуется,42.3,Новосибирск,1,6.0,0,3,3,Кирпичный,0,3830645.6999999997
нормальное,30.6,Новосибирск,4,6.0,0,1,5,Кирпичный,0,3099994.2
,30.8,Новосибирск,3,6.0,1,1,5,Кирпичный,0,3129988.4
Отсутствует,37.4,Новосибирск,4,8.6,0,1,4,Кирпичный,0,3099973.8
косметический,28.9,Новосибирск,1,5.0,0,1,5,Панельный,0,3029991.5999999996
косметический,29.0,Новосибирск,3,5.0,1,1,5,Кирпичный,0,2999992.0
,28.5,Новосибирск,4,6.0,1,1,5,Панельный,0,2899989.0
косметический,29.0,Новосибирск,5,5.8,1,1,5,Панельный,0,3099984.0
Косметический,37.5,Новосибирск,2,8.6,1,1,3,Кирпичный,0,2989987.5
косметический,36.8,Новосибирск,3,9.0,0,1,5,Кирпичный,0,2954966.4
Косметический,31.8,Новосибирск,2,6.8,2,1,9,Панельный,1,2999980.2
Косметический,30.0,Новосибирск,5,17.0,1,1,5,Панельный,0,2698980.0
,29.0,Новосибирск,5,5.0,1,1,5,Панельный,0,2849975.0
,32.6,Новосибирск,2,10.0,1,1,2,Кирпичный,0,2899998.2
Без ремонта,30.5,Новосибирск,2,5.7,0,1,5,Кирпичный,0,2749971.5
отличное,33.0,Новосибирск,2,5.0,0,1,10,Кирпичный,0,2759988.0
косметический,29.5,Новосибирск,1,5.2,0,1,9,Панельный,1,2999973.0
косметический,31.0,Новосибирск,5,6.0,1,1,5,Панельный,0,2859998.0
Без ремонта,28.9,Новосибирск,1,5.9,0,1,5,Панельный,0,2649985.5
,43.0,Новосибирск,3,0.0,0,1,6,Панельный,0,2580000.0
Без ремонта,34.6,Новосибирск,1,9.0,0,1,10,Кирпичный,0,2554967.8000000003
,30.0,Новосибирск,3,9.0,1,1,9,Панельный,0,2700000.0
,32.0,Новосибирск,3,5.3,0,1,9,Панельный,0,2700000.0
Косметический,31.0,Новосибирск,5,4.0,1,1,9,Кирпичный,0,2564971.0
,43.1,Новосибирск,6,0.0,0,1,10,Кирпичный,0,2586000.0
,41.0,Новосибирск,7,13.5,0,1,12,Панельный,0,2583000.0
косметический,30.0,Новосибирск,2,6.2,1,1,5,Панельный,0,2644980.0
Косметический,30.0,Новосибирск,4,6.0,1,1,5,Панельный,0,2749980.0
Без ремонта,43.1,Новосибирск,10,10.5,2,1,10,Монолитный,2,2579966.0
Без ремонта,30.5,Новосибирск,1,6.9,1,1,2,Деревянный,0,2912994.0
,31.0,Новосибирск,1,4.1,0,1,2,Блочный,0,2899988.0
Косметический,33.0,Новосибирск,2,6.0,0,1,2,Кирпичный,0,2899974.0
Косметический,33.1,Новосибирск,2,5.2,0,1,2,Кирпичный,0,2700000.1
,30.2,Новосибирск,5,5.0,0,1,5,Кирпичный,0,2599978.4
,29.3,Новосибирск,3,6.0,1,1,9,Панельный,0,2999997.7
Косметический,32.5,Новосибирск,1,4.0,0,1,2,Кирпичный,0,2649985.0
Частичный ремонт,30.3,Новосибирск,2,5.0,0,1,2,Кирпичный,0,2799962.4
,29.1,Новосибирск,4,6.5,1,1,5,Панельный,0,2589987.3000000003
косметический,30.0,Новосибирск,5,5.5,1,1,5,Панельный,0,2619990.0
,30.0,Новосибирск,4,6.0,1,1,9,Панельный,0,2998980.0
Косметический,30.0,Новосибирск,3,0.0,1,0,3,Кирпичный,0,2550000.0
Отсутствует,32.5,Новосибирск,3,5.6,0,2,4,Панельный,0,2799972.5
,30.0,Новосибирск,2,6.0,0,1,4,Кирпичный,0,2550000.0
Требует ремонта,31.0,Новосибирск,3,6.0,1,1,5,Панельный,0,2799982.0
Косметический,30.0,Новосибирск,5,6.0,1,1,5,Панельный,0,2970000.0
С отделкой,25.3,Новосибирск,2,2.3,0,1,9,Кирпичный,0,2649997.9
косметический,30.9,Новосибирск,5,5.9,0,1,5,Кирпичный,0,2649984.0
,32.0,Новосибирск,3,6.0,0,1,3,Кирпичный,0,2800000.0
Косметический,30.0,Новосибирск,5,6.0,1,1,5,Панельный,0,2899980.0
Требует ремонта,22.1,Новосибирск,1,5.0,0,1,5,Кирпичный,0,2989997.4000000004
Косметический,29.0,Новосибирск,1,6.0,0,1,5,Панельный,1,2969977.0
,28.8,Новосибирск,1,6.0,0,1,5,Панельный,0,2999980.8000000003
косметический,31.9,Новосибирск,5,4.0,1,1,5,Кирпичный,0,2899997.1
,28.9,Новосибирск,1,5.1,1,1,9,Панельный,1,2999993.4
,21.0,Новосибирск,2,4.0,1,1,9,Кирпичный,1,2799993.0
,30.9,Новосибирск,2,6.0,1,1,5,Кирпичный,0,2899995.9
отличное,20.0,Новосибирск,4,0.0,0,1,5,Кирпичный,0,2850000.0
,31.5,Новосибирск,4,6.0,1,1,9,Панельный,1,2899984.5
,34.0,Новосибирск,8,11.8,0,1,9,Панельный,0,2799968.0
,27.28,Новосибирск,6,5.0,1,0,16,Кирпично-монолитный,0,2574986.48
Косметический,24.6,Новосибирск,9,3.0,1,1,9,Кирпичный,2,2699997.6
Косметический,44.6,Новосибирск,1,6.9,0,2,5,Панельный,0,3649974.8000000003
,32.3,Новосибирск,9,5.6,0,1,9,Кирпичный,0,2749989.6999999997
косметический,42.0,Новосибирск,1,6.0,1,2,5,Кирпичный,0,3619980.0
,44.4,Новосибирск,1,7.0,1,2,5,Панельный,0,3549957.6
Косметический,46.0,Новосибирск,2,6.0,1,2,5,Панельный,0,3399998.0
,44.0,Новосибирск,1,6.0,1,2,5,Кирпичный,0,3499980.0
Без ремонта,43.2,Новосибирск,2,6.0,1,2,5,Панельный,0,3349987.2
,43.2,Новосибирск,1,5.2,0,2,5,Панельный,0,3599985.6
,43.0,Новосибирск,2,6.0,0,2,2,Блочный,0,3199974.0
Без ремонта,42.0,Новосибирск,1,27.0,0,2,4,Кирпичный,0,3299982.0
Косметический,43.7,Новосибирск,2,6.0,0,2,4,Кирпичный,0,3399991.1
Косметический,43.8,Новосибирск,3,6.0,1,2,5,Кирпичный,0,3199984.1999999997
,44.3,Новосибирск,1,9.0,1,2,5,Панельный,0,3499965.8
,37.0,Новосибирск,1,5.0,0,2,2,Кирпичный,0,3099971.0
Косметический,44.0,Новосибирск,2,6.0,1,2,5,Панельный,0,3249972.0
Без ремонта,52.5,Новосибирск,3,10.8,0,2,3,Кирпичный,0,3150000.0
,37.9,Новосибирск,1,5.6,1,2,2,Блочный,0,3099992.6
Косметический,47.0,Новосибирск,1,5.0,0,2,2,Деревянный,0,2900652.0
косметический,42.3,Новосибирск,2,5.0,0,2,2,Кирпичный,0,3099997.8
,41.5,Новосибирск,3,6.0,0,2,3,Кирпичный,0,3249989.5
,52.1,Новосибирск,2,14.0,0,2,4,Кирпичный,0,2999970.1
Требует ремонта,46.2,Новосибирск,1,6.0,0,2,5,Панельный,0,2999997.0
Требует ремонта,42.0,Новосибирск,1,6.0,0,2,2,Кирпичный,0,2649990.0
Косметический,41.9,Новосибирск,2,4.7,0,2,2,Блочный,0,2869982.4
,42.1,Новосибирск,1,6.0,1,2,2,Кирпичный,0,2699999.3000000003
,42.1,Новосибирск,1,6.0,0,2,2,Кирпичный,0,2799986.8000000003
,53.0,Новосибирск,1,12.0,0,2,4,Кирпичный,0,3069972.0
Косметический,44.8,Новосибирск,3,12.0,0,2,3,Кирпичный,0,2800000.0
,53.2,Новосибирск,3,9.0,0,2,4,Кирпичный,0,3149972.0
,42.2,Новосибирск,2,6.0,0,2,5,Кирпичный,0,3199983.8000000003
,42.0,Новосибирск,1,5.0,1,2,2,Блочный,0,2999976.0
Частичный ремонт,40.0,Новосибирск,2,6.0,1,2,3,Кирпичный,0,2980000.0
Без ремонта,44.8,Новосибирск,3,6.0,1,2,4,Кирпичный,0,3099980.8
,44.3,Новосибирск,4,5.0,1,2,5,Панельный,0,3049966.4
Косметический,43.6,Новосибирск,1,6.0,0,2,4,Кирпичный,0,3049994.4
